Vehicle,Cost (Distance),Load (People),Shelter Visits
Vehicle 1,11026.518461032774,45,13
Vehicle 2,10544.107251794912,45,12
Vehicle 3,11271.687583488738,41,11
Vehicle 4,11048.207968073875,44,12
Vehicle 5,10582.740884512225,46,12
Vehicle 6,11413.060145327443,46,12
Vehicle 7,13499.244756448617,51,14
Vehicle 8,10133.50419718095,46,12
Vehicle 9,10886.613995669552,44,12
Vehicle 10,12045.418939884363,48,13
