Vehicle,Cost (Distance),Load (People),Shelter Visits
Vehicle 1,10784.755815139846,45,12
Vehicle 2,9934.545673357263,48,13
Vehicle 3,9010.299285718203,46,13
Vehicle 4,10238.037867174948,44,12
Vehicle 5,10054.84477898704,43,12
Vehicle 6,9992.006703565406,46,12
Vehicle 7,10209.17574375828,45,12
Vehicle 8,12639.082469475812,47,13
Vehicle 9,13362.223510463908,45,13
Vehicle 10,11484.910739103547,47,13
