Vehicle,Cost (Distance),Load (People),Shelter Visits
Vehicle 1,10537.608077899715,43,12
Vehicle 2,9006.916631927461,47,12
Vehicle 3,8634.122104642198,48,14
Vehicle 4,9764.614844475293,46,12
Vehicle 5,9643.427744688293,46,13
Vehicle 6,8801.937288557912,43,12
Vehicle 7,9065.790759762882,46,13
Vehicle 8,9085.540642055128,41,11
Vehicle 9,9535.144248297831,46,12
Vehicle 10,9008.702670481374,50,14
