Vehicle,Cost (Distance),Load (People),Shelter Visits
Vehicle 1,11999.037590977507,47,12
Vehicle 2,9327.694844187406,45,12
Vehicle 3,11215.998164780322,45,12
Vehicle 4,10345.516632470442,44,12
Vehicle 5,9999.456769099412,47,13
Vehicle 6,8938.60779538228,45,12
Vehicle 7,10920.315614357543,40,10
Vehicle 8,10930.678471497256,49,14
Vehicle 9,10745.464300246853,50,13
Vehicle 10,12924.321998077543,44,11
